,Title,State,Created_at,Updated_at,Closed_at,Author,Details,Comments,Id
243,POST /api/transactions low performance ,open,2018-09-20T07:09:44Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Expected behavior
`POST /api/transactions` should perform efficiently under 1s even under fair amount of stress. 

### Actual behavior
In reference to issue https://github.com/LiskHQ/lisk/issues/1623#issuecomment-420920034 we found that on average it is taking 2.5s time. With following spec of system. 
```
Version: 1.0.2
Network: mainnet
Instance Type: Digital Ocean Droplet
CPU: 1vCPU
RAM: 1GB
```

### Which version(s) does this affect? (Environment, OS, etc...)
1.0.2
",Should be significantly improved after #2209. Suspended for now.,50873641
244,GET api/transactions poor performance under stress test,open,2018-09-10T15:28:24Z,2020-01-31T09:41:54Z,,MEMBER,"### Expected behavior
API performance for GET `/api/transactions` endpoint performance should be under 1 second during stress test

### Actual behavior
API Transactions endpoint is identified to have performance bottleneck, during the testing of `1.1.0-alpha.1` one of the nodes was targeted for a stress test and key metrics was enabled to gather performance stats, here is the link for the key metrics stats https://drive.google.com/open?id=1PxxxlLNGNlGUy_LydGSbPza3GEfWpq6l

Also did benchmark(without stress test) using `ab` and collected the stats for the endpoints.

### Steps to reproduce
https://drive.google.com/open?id=1PxxxlLNGNlGUy_LydGSbPza3GEfWpq6l

### Which version(s) does this affect? (Environment, OS, etc...)
","The new application architecture is described in details here - https://github.com/LiskHQ/lips/blob/master/proposals/lip-0005.md.

We expect it to solve the problem.",50873641
245,/api/node/status delegate count,open,2018-08-29T19:29:05Z,2020-01-31T09:41:43Z,,NONE,Is it possible that current delegate count will be added to this endpoint?,"Thank you, I hope it will be added here.",50873641
246,Auto-configure and/or Keep config. of .db.username in BOTH config.json and snapshot.json on install or upgrade,open,2018-08-11T17:20:50Z,2020-01-31T09:41:43Z,,NONE,"### Expected behavior

./etc/snapshot.json should be processed in the same way config.json is processed on upgrade.

### Actual behavior

./etc/snapshot.json file is only replaced by a vanilla version.

### Extra Infos

Since core version 1 , .db.username needs to be configured as the linux user (instead of lisk) that is running the software. I think there is 2 things that would need to be done. First, modify installLisk.sh to make sure it's configured properly on install. Second, process ./etc/snapshot.json in the same way config.json is processed on upgrade to keep the modified stuff on upgrade. Also, maybe improve documentation so it's easier for newcomers to understand why it doesn't work by default.","Ok, I guess you already have it completly figured it out. I'll keep switching the user with jq in my notes for now on both files and see how snapshot is evolving from known issue to none issue. Thanks for taking time to explain it. Still would like @Nazgolze to confirm second point before closing.",50873641
247,Upgrade Swagger 2.0 to Open API Specification 3.0,open,2018-06-20T13:45:03Z,2020-01-31T09:41:54Z,,CONTRIBUTOR,"### Expected behavior
The latest version of swagger is renamed to `OAS3`. It have plenty of improvements that we can utilized. Specially the multi server definition. 

### Actual behavior
We are using Swagger 2.0 currently. Which is kind of near to obsolete. 

### Steps to Develop 
1. We are using `swagger-node-runner` which does not support OAS3
2. Either we fork and upgrade `swagger-node-runner` to support OAS3
3. Or instead the package `sway` package directory, which is the dependency of `swagger-node-runner` right now. 
4. Upgrade the swagger specification we currently have in `swagger.yml`
5. Update the functional tests (if any change made in endpoints) 

### Which version(s) does this affect? (Environment, OS, etc...)
`1.0.0`",Un-assigning from myself. We will revisit this issue in coming releases and then assign available resource. ,50873641
248,Block is always created with the timestamp value of first second of the slot,open,2018-06-01T08:16:32Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Expected behavior
Block should be created with the actual timestamp value of the machine.
### Actual behavior
Block is created with timestamp value based on slot window, which means that every node will create a block with timestamp value equal to slotWindow * 10. When it should be: slotWindow * 10 + secondsPassedWithinCurrentSlot. This will give us more information about when the block is actually forged and broadcasted to the network, which nodes are forging on time, which nodes are performing too much work and so on and so forth.
### Steps to reproduce
N/A
### Which version(s) does this affect? (Environment, OS, etc...)
*","I agree with @4miners, we should delay this to after 1.0.0.",50873641
249,Add community provided seed nodes,open,2018-05-04T13:22:24Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Expected behavior
Lisk Core config should also contain nodes operated by independent instances to guarantee decentralization and prevent a attack in which seed nodes only supply selected peers to fork the network.

### Actual behavior
Lisk Core config only contains seed nodes operated by LiskHQ.
","@webmaster128 Support for domain names in the peers list (config file) was only added in v1.2; so in the meantime we should stick to IPv4 addresses.

The PR is here: https://github.com/LiskHQ/lisk/pull/2325",50873641
250,Equalise to bytea type all the parameters related to publicKey,open,2018-03-08T09:20:40Z,2020-01-31T09:41:54Z,,NONE,"### Expected behavior

All the references to publicKey presented in the database should be stored as the same data type `bytea`.

### Actual behavior

Some of them are as `bytea` , some others are as `varchar(64)`.

### Which version(s) does this affect? (Environment, OS, etc...)
`1.1.0` ?
",Postponed until https://github.com/LiskHQ/lisk/milestone/35 is implemented.,50873641
251,Proper and consistent behaviour of collection count around different API endpoints,open,2018-01-31T13:08:10Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"Currently there is inconsistency among different endpoints to provided collection count. To do more thinking on this topic I am listing use cases for such counts; 

### Total Collection Count 
Entity |  Current Usage | Probable Use Case  | Implemented 
--- | --- | --- | ---
Transactions | No | No | No
Blocks | No |  No | No
Delegates | Explorer  to show active and on standby delegates |  No | No
Accounts | No |  No | No
Votes | No |  No | No
Voters | No |  No | No

### Filtered Collection Count
Entity |  Current Usage | Probable Use Case | Implemented 
--- | --- | --- | ---
Transaction | Explorer / Nano (to show total incoming and outgoing transactions) | Wallet / Exchanges  / Third-party apps | Yes
Blocks | Explorer | Pagination | No
Delegates | No | Pagination | No
Accounts | No | Pagination | No
Votes | Explorer | Pagination | No
Voters | Explorer | Pagination | No

As per above summary, the most common use case is the pagination. Which can be implemented without total count with Previous<>Next approach. 

We need to think/discuss/brainstorm on this topic further to come up with consistent approach of providing count of collection. 

1. Either we implement it across all collections
2. Or remove it from existing implementations ",I like the idea of having no count by default and using `count=true` to get the count value but in this case (using `count=true`) I reckon it should return the accurate count. If one wants to get an inaccurate count for performance reasons use `inaccurateCount=true` instead.,50873641
252,Consistent and standard error propagation,open,2018-01-29T14:53:27Z,2020-01-31T09:41:43Z,,CONTRIBUTOR,"### Scenario
We have different and multi level hierarchies of modules, helpers, logic etc. And each interface layer e.g. “API”, “Websocket” is consuming those modules individually. 

Considering that some error been propagated from an underlying module and catched by “API” or “Websocket” or even on domain level catched by “process”. So we need to answer to these questions. 

- Categorically what type of error it is? 
- What need to be done with this error? 
- If interfered by HTTP Layer what status code to respond? 
- If interfered by websocket, what response need to send? 
- If logging required, what level of logging is appropriate for this error?

Currently we are dealing with all these questions on adhoc basis with redundant code. That cause instability and increase complexity in code. 

### Case Study
Suppose we this method was called 
```
logic.accounts.getAll 
```
With some parameters and in case of any error it is throwing error
```
setImmediate(cb, 'Account#getAll error');
```
Suppose this error catched on API layer, we are not sure its an SQL related error. All we can do is to add condition if(error === “Account#getAll error”) then decide to respond with 500 error code. But such if such SQL error generated by other module with different message, then we have to extend that condition. 

And if some one change the error message, all error catching logic will break. 

### Proposed Solution
So hereby I propose to introduce custom error constructors introduced and used consistently in every place of the application. Those error constructors can have different embed information on definition level, so our interface layers can catch and process those consistently. 

```js
var SQLError = function(message) {
  Error.captureStackTrace(this, this.constructor);
  this.message = message; 
  
  this.httpStatusCode = 500;
  this.log = true;
  this.logLevel = 'debug';
};
SQLError.prototype = new Error();


var ParamValidationError = function(param, message) {
  Error.captureStackTrace(this, this.constructor);
  this.param = param
  this.message = message; 
  
  this.httpStatusCode = 400;
  this.log = true;
  this.logLevel = 'info';
};
ParamValidationError.prototype = new Error();

var RecordNotFoundError = function(message) {
  Error.captureStackTrace(this, this.constructor);
  this.message = message; 
  
  this.httpStatusCode = 404;
  this.log = false;
};
ParamValidationError.prototype = new Error();

module.exports = {
  SQLError: SQLError,
  ParamValidationError: ParamValidationError,
  RecordNotFoundError: RecordNotFoundError
};
```","Two points to add to this discussion.
- Use of array of errors.
I think this should be avoided although we use intensively in the transaction library.
This makes the error handling more complex and non-standard
- Remove usage of throw in case of expected errors
Our application needs to handle various error in different way, and we want to have consistent way of handling error. Therefore, we should consistently return error instead of throwing in case of handleable error.",50873641
